x_fit,y_fit
0.0,3.139368262966728
3.5353535353535355,6.569155875193269
7.070707070707071,9.99894348741981
10.606060606060606,13.42873109964635
14.141414141414142,16.858518711872893
17.67676767676768,20.288306324099434
21.21212121212121,23.71809393632597
24.747474747474747,27.147881548552512
28.282828282828284,30.577669160779056
31.81818181818182,34.0074567730056
35.35353535353536,37.43724438523214
38.88888888888889,40.86703199745868
42.42424242424242,44.296819609685215
45.95959595959596,47.726607221911756
49.494949494949495,51.1563948341383
53.03030303030303,54.58618244636484
56.56565656565657,58.015970058591385
60.101010101010104,61.445757670817926
63.63636363636364,64.87554528304447
67.17171717171718,68.30533289527101
70.70707070707071,71.73512050749756
74.24242424242425,75.16490811972409
77.77777777777779,78.59469573195064
81.31313131313132,82.02448334417717
84.84848484848484,85.4542709564037
88.38383838383838,88.88405856863025
91.91919191919192,92.31384618085679
95.45454545454545,95.74363379308333
98.98989898989899,99.17342140530987
102.52525252525253,102.60320901753641
106.06060606060606,106.03299662976295
109.5959595959596,109.4627842419895
113.13131313131314,112.89257185421604
116.66666666666667,116.32235946644258
120.20202020202021,119.75214707866913
123.73737373737374,123.18193469089566
127.27272727272728,126.6117223031222
130.8080808080808,130.04150991534874
134.34343434343435,133.4712975275753
137.87878787878788,136.90108513980184
141.41414141414143,140.3308727520284
144.94949494949495,143.7606603642549
148.4848484848485,147.19044797648147
152.02020202020202,150.620235588708
155.55555555555557,154.05002320093456
159.0909090909091,157.4798108131611
162.62626262626264,160.90959842538763
166.16161616161617,164.33938603761416
169.6969696969697,167.7691736498407
173.23232323232324,171.19896126206726
176.76767676767676,174.6287488742938
180.3030303030303,178.05853648652032
183.83838383838383,181.48832409874686
187.37373737373738,184.91811171097342
190.9090909090909,188.34789932319995
194.44444444444446,191.7776869354265
197.97979797979798,195.20747454765302
201.51515151515153,198.63726215987958
205.05050505050505,202.06704977210612
208.5858585858586,205.49683738433268
212.12121212121212,208.92662499655918
215.65656565656568,212.35641260878575
219.1919191919192,215.78620022101228
222.72727272727275,219.21598783323884
226.26262626262627,222.64577544546538
229.7979797979798,226.07556305769188
233.33333333333334,229.50535066991844
236.86868686868686,232.93513828214498
240.40404040404042,236.36492589437154
243.93939393939394,239.79471350659807
247.4747474747475,243.2245011188246
251.010101010101,246.65428873105114
254.54545454545456,250.0840763432777
258.0808080808081,253.51386395550423
261.6161616161616,256.94365156773074
265.1515151515152,260.37343917995736
268.6868686868687,263.80322679218386
272.22222222222223,267.23301440441037
275.75757575757575,270.66280201663693
279.29292929292933,274.0925896288635
282.82828282828285,277.52237724109006
286.3636363636364,280.95216485331656
289.8989898989899,284.38195246554307
293.4343434343434,287.8117400777696
296.969696969697,291.2415276899962
300.5050505050505,294.67131530222275
304.04040404040404,298.10110291444926
307.57575757575756,301.53089052667576
311.11111111111114,304.9606781389024
314.64646464646466,308.3904657511289
318.1818181818182,311.82025336335545
321.7171717171717,315.25004097558195
325.2525252525253,318.6798285878085
328.7878787878788,322.1096162000351
332.32323232323233,325.5394038122616
335.85858585858585,328.96919142448814
339.3939393939394,332.39897903671465
342.92929292929296,335.8287666489412
346.4646464646465,339.2585542611678
350.0,342.6883418733943
