sigma_1,sigma_2,err_1,err_2
89.3854208588923,83.09004593865436,3.77369333148934,4.990025635427913
121.60066842951564,116.23157198416963,7.690656565070044,17.837592499034844
174.7779468987316,173.08860538444873,6.4133654854037765,9.158100415516127
111.79356991848424,132.28500541421664,10.643975529946768,17.847100184528767
86.46393102476857,86.64244640853994,7.118989639779504,9.25243177576428
234.5842447215804,247.6640723484679,12.948162360101945,16.879274752609753
112.61150830622891,104.06699690737469,12.258496110754962,21.390933709746857
68.41713614308031,68.60272441770833,17.398639433386837,17.31937450166803
103.61376534201432,111.23648004780216,13.129184342265416,22.42976711905684
148.52502894883796,129.73859999791927,11.262779106624546,15.411816749833909
136.31688626694017,111.30891350606076,12.873272660043432,13.164747567017445
121.00646859171856,93.9802920140982,9.154788600900016,10.29035276773612
76.08640507432892,88.45483878237918,7.622819278361185,6.002761168978432
186.41287786671853,196.9689809311259,17.36469622896947,16.491713570956975
110.62783419404084,117.51496253512174,18.19865669025488,27.76859520390101
82.11566543946448,107.25193347338576,11.057425764039516,17.446145953021066
153.46894455825105,100.36355605724803,15.582814067242436,30.305703176183865
167.25288485523328,171.64889677206327,15.846818415772647,26.43211851555747
116.07237275459087,125.43323415773597,14.484854849672908,68.40760490282584
112.5495839840866,115.77537008768805,14.796353489073637,17.2004125693189
103.79635636800684,121.0773741173617,16.65574566285522,15.362103264980837
82.86331821867086,95.29992871321107,14.755347069722571,21.9114942545041
64.14239847271051,55.60235186735214,11.349105724415748,11.313676260892883
148.4969477600343,138.5708159279857,18.85752246370962,13.369260172283072
108.52123822630128,81.83091804651772,12.021162157862577,10.493700222240276
94.46309766978266,83.41402815692554,18.485178717380187,21.234572287240837
111.8137856030399,124.2455036497907,20.58983834120639,25.501702249541665
139.18909143913618,86.62426840991189,26.02720985509974,42.28292548900562
147.6292180698625,106.10960676080263,32.78197381911825,28.43550843122796
145.24835479555298,86.75999198323754,21.538002541962022,35.8187441311701
29.63533295997776,29.90759112958954,12.407543546398404,12.355157628913355
167.84720860900558,168.35249615496798,27.68809716809229,22.150943782541432
89.67241679135263,59.51926079149912,16.608474234017674,20.325372848824426
80.88906278587952,81.03895271599603,32.8184176632754,32.76288113013453
74.04855196000763,117.44123530188388,17.78116970901314,22.20351924067093
92.25161755653356,92.26704070736264,27.89438505276365,27.900536065278523
51.43122416427414,51.296484033555934,28.602731668183623,28.546022502137596
147.2658061951892,112.3945092110251,22.92217294929286,26.615830613260307
99.6775812961908,98.9064599485745,33.210411565935445,33.77886985816992
105.86764061455038,104.74006840649504,24.29362612313076,24.5755771603489
152.7420042011426,93.22104329477357,35.90250790171278,29.183499296282022
146.71567201704593,145.92559203284824,56.897465213364825,57.8352572074041
43.0274083756489,43.57303680607306,36.711158609304846,37.5106758562981
244.1009865295766,244.84208288697533,121.25643972270665,122.6811839868777
270.979717906654,272.2799360600948,1.6678398325066528,3.681935154764857
201.60640973141415,214.8147540448543,3.159260543063527,6.945502494415958
114.283987898325,126.26252376409356,2.6215161328890035,6.74511442287602
268.2015383883623,279.8747029272523,3.912055342644361,6.119211154791716
209.37875587959496,199.9461540971595,3.896653667033511,2.494411025153115
171.46592001763233,167.48260308093847,3.185412874190109,4.427018767206478
208.79927149850943,210.14428199963805,3.8801637900604535,4.236909731064037
253.08029766709507,257.5761897613089,2.8591217123194084,4.428441527695509
201.49026447394667,192.76641392032096,3.759373762587552,4.826353173328469
189.5854786189693,185.24554318983328,3.506485132351627,4.679531848630484
192.6850877091151,201.6715697546508,3.5721514441017885,4.915097233977221
171.58787200055045,174.3769326426976,3.463244458551404,7.218271625733433
145.583562404314,139.22308356682785,3.149776359552202,4.458086847823799
132.15795563708974,129.4530099623924,1.7615628064077862,2.6015200549428164
243.4500153323396,238.2009932076387,4.503477031774223,6.690787445507539
223.1622760349194,222.65658938974423,3.7497581678649903,5.608401055653943
214.8947314991265,222.93365424398527,3.945197422844239,3.913591519487886
281.6139411056641,286.3476135858272,5.500567567238825,5.047288504680959
215.2619973029184,219.4930011796051,4.452196245067724,6.728122095002303
207.2935596546145,207.45895178968397,4.487549223040884,4.3369349583776176
89.86040525516226,88.49973139117553,2.785410666171804,3.3422437588785363
133.06328065798746,128.1406879866282,2.8179088525840856,7.0051834760813145
214.1445437304073,218.36620013189537,5.233948180549996,4.568580558118546
184.13265548128504,180.9327485950916,3.997593741573197,4.474171559413417
148.51827599037398,158.55035010419255,3.244593378607086,5.045058501451218
257.1835916345048,244.7285263107725,6.628752450914389,6.320638081376133
204.4929474992536,190.09527534288472,5.43080255655566,3.898826698981938
91.27398883021648,92.58898627605312,2.94954939902423,2.8071609852799435
129.92075267895703,130.37628129945085,3.389695924131236,4.299307457686808
228.899568555954,244.40282018204127,6.482438612955902,6.676473876541216
143.2303886721593,141.87789208949178,3.285376415992106,4.268458593741355
94.5814157711528,90.39420416820964,1.5201113941623772,2.7747341308256326
133.70643247473154,119.60710123911566,3.6927881940021896,14.82201929763745
186.44030178443435,198.25104488572885,4.641719022647376,5.047791876787956
158.33746126855826,165.7393128200429,4.396378764666972,6.627997558831609
166.07827149155753,173.97029955469534,5.308886547591202,5.729354858812318
168.51112663289845,164.30006254483456,5.607882724284005,5.338950637487226
192.74487257393957,209.99725192631124,5.923976202114941,6.202505028894877
168.95277957414697,167.39364328939382,4.7283718446567145,5.010434412142857
125.81269927979297,121.08978427717554,3.9103317930499353,4.761786548961774
143.62472840528508,140.4647553437472,4.180927475115685,5.105073200649825
121.03893665873254,125.89491308770153,3.2006488770093084,3.77718669926784
168.61822857023398,151.3348192138834,5.355848005431652,5.210355521730066
128.92006039540135,123.57986477813564,2.604418669060337,6.655153076195841
117.26472767250758,122.2893233832198,3.7546768515926487,5.523770016552166
194.25361947475884,191.8574341860126,6.095860499233136,8.06488337422778
108.73590234684784,108.2858328438866,3.964132599624442,3.963759459014868
128.58175318571352,134.12177487739405,3.297363696629388,4.881663886373023
166.382007732313,171.4065329356969,4.362360085334041,5.316598217972682
143.74765720428306,135.58442474423467,5.382423332749539,4.85767478126667
224.0252025113296,216.59510695604257,6.833347795373626,5.337922638053658
196.20001906970413,206.22993697827496,5.757420981473083,7.158908840288427
133.9042036194685,129.92321565025205,4.525237868703667,3.879337427501776
322.6152307542389,350.8427221943772,8.230755857915366,12.105741493925496
134.61095759943774,131.7914535135993,5.106736689557589,6.107389476803147
142.2044080640616,137.7105992379945,4.634511900283241,5.121776890406624
113.37446081206264,109.06592714368118,4.253770347869267,4.977783413990315
71.39316978516176,78.52462914715178,2.3311330542450395,4.940143424578691
203.33983000360897,199.7905982407105,4.48229342252634,3.8748121572581296
87.04218188826476,82.41464414696974,3.723181278531937,3.1327690605493173
131.30095167245858,134.816837192741,4.131598099441372,5.254978369201207
96.71248373435296,99.35845945346756,4.423298734988413,4.34323175750814
133.40473992424845,141.11069102774744,3.976385819443746,5.92748996911214
94.52346079989064,85.3142760973418,4.5043921763505566,4.21987760018855
170.2558287520092,183.72470107268649,5.652204464557765,8.425717008862087
185.3492092930572,199.12428333751672,6.389987336174386,7.310553969581198
138.56023802976557,138.87478119864215,2.821265479956524,5.920221451478447
124.90904943831552,118.23418111818518,4.533876688159143,5.282698703779902
110.05611561315362,133.89158745516542,5.3565009487512505,6.859079453023245
173.5190011425806,170.4066396143659,6.292016814560995,5.881282459535894
104.83765296654664,115.43667442467368,4.441635527122898,7.006295598251628
171.84071316983625,163.2397440415433,4.338851591163536,5.389074388968851
225.06214218854169,201.03376845402968,5.954999848870915,5.507696907031408
93.015632043055,87.01726811459432,4.552838989875839,5.010162713800343
77.36405285678302,74.25361141202107,3.5312911816840424,4.287745611380441
109.36732086950629,118.5499100940208,4.420261703797902,5.187937938519242
109.35822738571449,109.73416215955552,4.478110092388997,4.558815876343341
80.05322613938148,81.4591660706195,4.079649420590369,5.64015120355954
146.4729125274305,140.1045023052611,5.281769257983871,5.43860947955091
135.13434493807046,118.08143239312126,5.225058258332557,7.167681643830035
139.2078831047568,140.42172985874404,4.771915513719987,4.30717590929274
179.55150461131362,183.89423212766744,7.941981120410166,8.78656094805853
199.42799282964756,189.4202777679956,4.702637821035025,8.434075868660337
214.5312736965496,216.0811004124272,8.580827486487758,8.819882318334937
132.7620388931666,137.93973279610077,5.858175353255223,6.553557459997926
113.95913375787084,102.94736297915917,3.1216786503214733,6.285028629129696
121.23433542132108,132.88811178130155,5.580176240202645,6.317519510438743
172.80930807315718,185.07245633877403,4.636305142270941,10.1144172403876
214.08180687305213,203.77616208341885,7.23596814624389,9.067571693686247
101.50140225075435,99.42636457419452,4.808734237153901,9.117868424106272
68.47156764572476,62.47233423285856,2.865376711592189,6.4829673473829645
115.37791366127897,129.75421839753204,5.817972725264856,6.841103406219938
121.4666967439013,117.2202376129423,4.524679418605595,7.323304660192912
82.25739037865954,67.43603554785665,3.012964931529995,6.523528715815346
73.7514701343181,72.83128457752353,3.988124519596081,11.134947371693148
174.89229780143356,187.9331408940768,6.229060842075988,6.18775630703107
50.60231128037217,51.362597342085216,3.60936339729106,5.139725821533244
254.22463066968777,260.4353854200353,7.179835091059708,7.190448300441672
93.3659649794249,80.31005268113812,2.459350954883688,5.428685826242311
167.36942774689032,157.52009857088936,4.327487692396262,10.62052610131864
93.8048333319271,106.15547535665114,4.499476379679476,7.176156846535114
158.8778966227348,144.0477921789328,6.520361071032974,5.373770878083192
187.04219618466516,192.5491379744802,6.780144534955742,5.646247528367836
152.3699656244239,161.4814511079976,6.083162405966875,9.129454624185076
139.78697182872602,135.22604140224013,4.669787877423506,6.5423030088381084
85.14455340504915,95.28884213012982,5.1169425831970985,6.083536476531334
92.1054115512447,90.02114371077563,4.309706804268826,4.916408411463548
151.010147956157,145.04192119737178,6.985256577284333,6.685174711492405
211.30884634788663,201.4004164202255,7.2882128408389955,10.499054353043384
147.87994238169924,141.8179666080929,5.278745469017452,6.601954493338258
183.29311362196023,176.7934127674966,7.3705804378316975,6.715654048320804
159.0013618119236,170.44895860414215,4.791859182445784,9.932557846884611
106.5993514966918,99.97792761919182,5.73336355632611,13.569403925742195
141.6623518303098,143.65930140744518,6.009700730497171,5.847396859255586
211.6236971873464,235.4510559811795,6.671752507713365,8.987805143980149
229.8768220110206,252.57944885250268,7.707238725552023,12.615090982783084
163.8510671025791,189.05590968008292,8.83778131149998,4.645555336399164
156.47368002688725,179.7864590956965,5.789047961724148,8.17234745777251
102.705126324894,101.97527375936508,4.628252166114587,13.533871530827536
71.82156894901274,70.66274688679552,5.529994756151631,4.728350801502076
167.06825148932572,161.6798947904836,4.755352619716192,13.88687048773558
135.70464780005292,124.78553648598432,6.9041296062654895,6.8316039748662
115.0212153259742,117.41960681339708,6.996438015539876,6.719887274859947
136.676274009719,132.80687681043256,6.546789002156959,8.811065638204154
198.35400173446573,195.30917766836205,8.17854128413016,7.490067379800578
166.9923299882723,155.07628737692727,8.186668992213372,7.888501355842801
232.3002387419446,223.4325420951899,9.124432306273226,7.020869261284366
131.6641242668521,135.15492321578787,6.733810836719431,6.459692723005533
177.89850306309688,161.75779514311577,6.423075194225678,7.255641455295805
200.9808859968441,206.4283132619008,7.201501519935541,11.452597529345706
219.17030438195695,225.54588221943223,5.091721721173433,5.736344537290864
189.258549017503,180.50713654342388,3.26707471481226,7.191729580491772
191.6498215965665,179.51935589718562,7.225194451872191,6.542137201389289
272.84794737461254,256.4148127752107,7.131166070405097,8.539790372206602
152.11424405484587,198.17664327326364,9.208733047830169,10.22655494979573
170.16436571069133,157.80314210304866,8.026188379461153,10.12526346187875
176.93772387734128,157.0004441832017,9.800607415102332,9.685345545491415
203.81932215566948,213.3009148272615,5.635269544028679,7.459076513661892
78.28017262921274,84.09623335668694,4.966555451762694,6.954133447785128
280.7016976730415,264.34151634535743,7.77221173368947,7.125893881348809
293.74213685852686,283.7513088120361,13.377648585444517,17.110145893014444
77.40434830092634,75.3657797834228,5.778533430741729,5.397627612764168
63.93250530429393,69.4446873184093,4.636159980887852,5.479830777729259
240.8546903736264,238.59579359830929,9.557696260828882,7.602636157126368
157.22185524512182,162.56282822411524,7.479456070416687,8.81918668133729
115.22829618699994,118.95562397415036,8.207496092998126,9.562192226220697
142.07356553059745,165.160664931416,5.301807414165152,7.354049686978453
210.535243976304,228.0530531502185,6.877296202786769,11.969873029396702
187.18907219290557,196.1602393366868,7.028997137798488,10.535528780476476
187.8561252074761,195.97930232914555,9.796013155168469,11.16251394166053
128.87839382632276,114.75486960716398,7.708274890879754,19.87883493338344
166.79929425559834,158.62717601927966,7.799266206440262,8.169365850699583
139.61116967714605,151.71038537477833,6.709833098932735,7.869465810893124
223.5992445646204,220.400493093344,9.638491605684754,9.002670922115
51.45375909179717,51.89536038307531,5.523546711009729,5.599205428885499
138.34717353245773,150.63057714584212,7.18878517341496,10.638641785627572
298.0570508312188,291.6643378826866,9.902600955874146,7.877179780065308
240.95137546200036,220.6125296528824,11.29429786310062,8.15733848797368
73.19946086767055,74.44185013834765,5.774829484109724,5.728299240397057
168.86682071182202,164.09220152096043,3.304253196719773,8.80391356669268
295.8746134589172,293.97886823815713,12.268200285777889,11.052782013379762
185.56585444279895,190.51853873968167,8.387682128509566,9.528139298673327
180.59824518387745,196.297530104832,8.52801040403795,9.241263654807849
220.088317488925,211.58718480425927,5.925470699324942,7.605435664579554
216.89728792921085,207.75805179268417,11.158563735387917,10.58596767152094
174.15116301193848,164.11080138281767,3.314965651577453,7.022118321643739
119.9095236336446,122.07952396966604,4.808923034169467,7.195583145127372
315.39544233844794,283.7643284090375,10.713236149981311,8.198719067709396
85.6940305646873,85.40145223757902,2.9661321599310124,3.917416171774777
194.42824767133612,214.89153607984088,5.988488753580512,7.286752965474804
276.1654528328151,276.65276028314594,10.548878084865898,9.254340171048833
143.49077006667983,160.34677991281507,9.6220420229942,14.51768176062663
187.40449278922756,162.72944934655985,7.393713541435993,5.898766731615362
223.31313914141447,240.5863017268043,7.682637100316734,7.952682968239774
123.23106918645398,126.8457563565109,7.518915902375307,7.313484419214834
99.24883524776352,78.17044687071194,5.67819128571598,5.793476870941364
140.81055125364207,165.76842984455124,6.863180627538505,9.776570647922592
69.70204471865254,71.45973431224908,6.179856882796146,6.157768851645879
126.45925655647464,145.32592357749468,5.092483242489923,6.085625263951892
117.3405111348543,146.91284031708173,7.443095438270082,10.561625994880032
93.77925448819356,105.87343600918462,4.434364458849803,13.831678509612546
210.91365305774585,192.6140012471556,7.683905648858792,9.337895909538268
104.39883984276214,100.86335933232158,5.651199140928208,8.920485258334153
145.09299697446804,132.5081647716434,8.050252580094446,9.068797300959792
158.1131512328576,165.4725430557827,7.401429376811229,8.91428406221393
113.84857487706424,98.25724375604436,6.847875368219254,7.002748650884444
159.50572433056476,173.3789126195112,8.556839049302395,8.288666989399006
129.92808029850036,151.7511340293632,6.933378462930962,10.609326676184304
50.42636295649666,43.76458747414393,5.474816943247256,6.624247304112028
125.35688740303952,113.587295391767,7.76550080909574,9.423902205044554
137.24493184665164,147.15359751706367,6.497231979236925,7.673741025549072
171.26301346872037,177.98790372638695,6.951532358724017,9.017235631242828
156.2668022770411,120.68441048317176,7.422736953227456,18.85272637423473
174.24583245060592,171.38894245668217,5.972957564161377,10.493719669155867
118.13520648823838,101.65613098312852,6.607955828270964,7.869622642126583
192.2000569692221,188.0166812827975,7.632637412359468,11.769978124980709
197.52115242867936,187.2867941905925,8.683923224834631,9.504067087240315
229.3675639403834,201.2272888826587,9.390492694705216,9.114607582665876
227.86217638691883,181.5654353111833,9.656818801642876,13.25882235907996
179.94225215563606,161.65778124400956,7.294185904576971,8.55126126605296
119.90718576726891,97.641073745864,6.831218583089,7.1614889028624615
155.6918979916606,157.80922743389414,6.053396353031281,6.885003870685777
132.22946140079782,140.5153469855553,7.395815668628615,13.178381448436852
230.0387273672592,236.6759801653052,9.48822062196133,11.077209305655089
141.83052667471452,165.06560162858133,4.23139507531581,7.65541472512496
61.62843755388066,79.09337405355653,8.36036909442875,10.303976307257637
81.62327163155788,91.43751303008588,5.919755557619987,8.51706635732485
147.43682030118035,126.17153024377882,7.6509949824516355,7.680154264884258
185.1397978216234,167.8920447359939,7.579432072194565,9.295046580786371
123.23594130616875,130.947701201226,8.625344963944027,19.36892918544897
64.40763006328888,60.551264034645776,5.40549285994966,5.7146660368218125
221.1095860427166,222.78003353947364,7.722982766044216,8.146231270151535
194.1694876619921,216.1457060070179,8.130865783201404,16.627816050957062
222.12616471795857,216.71369215667565,7.913564684044427,8.236390896876944
87.32434971086953,92.99736145100448,7.320466980500095,7.044828412094628
115.75052552574522,116.71832248027307,6.5119463933499855,7.662672562509014
150.1044751647056,145.19830599530752,11.33613311614648,11.968057589869227
154.60038622459183,151.80165490801014,8.125357577463447,7.901492259408758
61.87844180733903,66.97069639432759,5.491294567525095,5.650907729668154
172.46373834068842,202.69133402615887,9.75736266465822,13.385176472792116
166.80971243006636,179.1027311522822,8.196328744957242,15.935716699885242
110.65181950780556,106.0184599954281,6.872873169980773,9.329908824332431
173.08211579990106,205.4611005386384,8.476138826535811,10.831098521478664
38.57617583482061,27.479165525417333,6.871945065544304,8.766673530320075
107.89734325028866,85.09848601894805,6.4610556323174,7.310341165470464
136.46276360584537,128.5207293042729,5.939271369251907,10.531408925601092
111.41179192892778,94.84545962802068,8.77090315481858,10.90341497070004
164.4775142511142,174.27238204362678,8.108491941932678,12.79988070114693
233.4339465639562,235.3844529493995,9.564105698642448,13.672144684798594
151.27855943888505,128.9192468223189,8.808907108596442,11.504421964465172
152.79254675664825,172.65979624858468,7.370185042965881,10.493580865791012
194.53708371293703,190.18313538943457,8.402488774147457,10.092419467647996
274.9641657289536,271.6329350316489,13.920755515139987,10.537343612183534
178.20140699463403,185.99442252460943,9.670074354022857,7.305410624573918
147.54855427247065,150.4719569402857,8.073523210699006,7.449222154447746
186.65962393140637,174.82074915474354,11.102507874918762,10.962392834917203
291.39356374686025,305.7413303427392,8.084649444775497,9.964788958185244
229.5248614624472,215.1988852386364,11.23945854326934,4.2544285281892735
118.12510150048988,115.6479092396768,9.054460648640218,8.166101844176847
60.26486439937735,73.485091715987,6.368134858129847,6.87112323842191
199.6872264791268,198.53848508479905,14.794349202137775,14.478948003904
78.63503085949132,66.3558952976473,6.6697792052378535,7.419798912594946
164.2679074504978,171.7854091807477,10.742997549898924,12.123752905499735
363.2603891085058,362.1126314361896,12.85724494194228,10.918498889888616
211.21418561776372,209.1415052318792,8.980682136764496,9.343279704402034
297.03852882729154,252.25689486265225,13.445004242503062,15.704027977535452
183.619229400156,186.71429535239372,10.270208801215675,11.096415280172469
96.03008169718832,91.36135167084778,7.535185648279201,13.748606072018507
108.74974491816974,91.439934751703,4.152942395678892,9.767687479811784
177.1368001848016,197.09840298130004,10.090652025346529,10.381497543596288
239.1969191941385,238.2902862640296,9.035897989868957,10.007181713851388
186.97148021225115,198.45213796182748,8.389094619757005,9.506392334742564
152.87535465306271,159.90960154911792,10.528773777766348,10.7425174841321
143.10634964796446,161.40415286446373,28.106850265585805,10.759943404322511
106.9262737891116,110.19836573648156,9.038806597142315,9.269997367969582
202.58564477024228,234.1975301388248,8.059892373114815,15.843175738895305
190.9021661775878,192.4123695906032,10.6720835078493,13.926242862255425
117.54300333213016,111.80390110652937,7.677745852773286,19.75704435692189
140.46111162824894,130.57831010946344,4.349692401850305,12.951083977753283
288.300944881566,277.9516341137866,9.802513548355932,11.89046137632321
130.62192084700206,146.9041730542023,10.746730597861331,13.641957257107167
151.7804560990884,161.8976419461163,10.38287219987133,14.344496958267127
127.9195648531878,120.00780312792811,9.99028321046183,11.90375478249432
136.96318373918123,125.04437701444976,9.11545215102988,9.826688136946222
247.97785123242943,222.47554001997776,14.13412867900868,15.023234260643337
138.53882940568317,137.8530773791485,7.0251742320283705,7.05877627801874
203.4923409503902,221.0707944905204,7.641771231380263,8.463162081284619
189.9922266217918,184.13587203804045,9.80204932410119,10.22466137776978
143.3284739422041,138.0286039694579,5.625027161626083,12.702297233394487
189.25722516017973,189.8658258137042,11.237615872478118,15.254066544818434
129.69836181307062,138.23328136288745,7.996415797603277,13.106443221289943
191.29641450152175,198.94584098967275,10.141464005382684,11.775056306267928
203.68378206988504,191.09955498912572,9.008148645408175,12.499690197344538
270.1846737704349,275.390801241786,16.693900592316904,17.5895704767534
138.6592455387603,141.81627812573157,6.874854036890324,8.473565462041456
194.8506643510708,157.59196785190048,11.726981976381715,11.08702332789327
198.8895585000405,172.64364691535334,12.810396395540062,12.47064694783531
109.40033636804552,93.3199646473633,12.430383274962097,13.6716462284079
241.4353864959359,232.9174758884527,10.989896643027926,8.820711469890956
193.97142666437043,198.4357364701253,10.04652492428004,13.358853771815449
242.68946027805652,249.29577210533935,12.74785432779206,15.942247741416953
228.7737600470789,241.63677331146565,11.172150831953743,14.726012568463815
101.1353286862399,75.40193094830641,10.636765463113566,12.040735801672763
125.26234748993988,125.6837977310926,10.443414075140524,12.28059930273042
160.2526068385531,146.32293648360866,13.165371398465751,9.259289327617926
149.51961892243577,161.78604731644342,11.675856772061785,12.249655335146052
126.35423054321288,142.7244864509687,10.80068045892465,10.04244954942452
136.19530478893006,140.7959265450864,9.694032030067127,10.715009861873693
186.04713166520224,191.99811256241165,13.246207016234878,13.486112779992515
109.65561268918796,128.34240966453385,8.40296982427432,11.455088048199416
57.11196091190717,63.17820565819847,5.686540466928427,6.285054890822609
113.80021345909984,102.74055677334584,8.57129924757183,9.016316402923447
194.10200395753765,181.4607627579221,9.044516494830871,10.115099177894892
118.27251697517023,130.389975513745,9.127293838967187,9.473438094286571
93.0543758011109,98.79552053029396,10.114755491031104,12.40159899301736
208.1065095925907,202.14137284071435,7.650611140847241,8.246866105470094
246.52351745436712,233.70522647984637,10.400042711931013,10.88291782131337
118.05579209843926,96.64805471355425,8.185613409348534,9.883219540443834
243.0748372943264,215.86966883742664,11.273081656617457,12.376289219492884
