x_fit,y_fit_highz,fitted_k_modulus_only_H0,fitted_k_modulus_Planck_values_q0,fitted_k_modulus_Planck
0.00373033033033033,1.9344795741545822,1.1655351445448257,1.1657541695573472,1.2179078653028188
0.00384034034034034,1.9352202135423515,1.1780991943952634,1.1783176820151897,1.2304713777606613
0.00395035035035035,1.9359608529301209,1.190306725696803,1.1905246759267127,1.2426783716721843
0.00406036036036036,1.9367014923178902,1.202177326577525,1.2023947394199852,1.2545484351654568
0.00417037037037037,1.9374421317056596,1.213729013913321,1.2139458893708868,1.2660995851163583
0.00428038038038038,1.9381827710934292,1.2249783970104446,1.2251947350856607,1.2773484308311323
0.00439039039039039,1.9389234104811985,1.2359408205137619,1.2361566212091604,1.288310316954632
0.0045004004004004,1.939664049868968,1.2466304896264924,1.2468457529445944,1.298999448690066
0.00461041041041041,1.9404046892567373,1.2570605802053842,1.2572753061486994,1.309429001894171
0.00472042042042042,1.9411453286445066,1.2672433358718822,1.2674575244429094,1.319611220188381
0.00483043043043043,1.9418859680322762,1.2771901539345394,1.277403805135765,1.3295575008812366
0.00494044044044044,1.9426266074200456,1.286911661634843,1.287124775468742,1.3392784712142136
0.00505045045045045,1.943367246807815,1.296417783995426,1.2966303604644631,1.3487840562099347
0.00516046046046046,1.9441078861955843,1.305717804356679,1.3059298434633064,1.358083539208778
0.00527047047047047,1.9448485255833536,1.314820418527347,1.3150319202740064,1.367185616019478
0.005380480480480481,1.9455891649711232,1.3237337833408442,1.3239447477299646,1.3760984434754362
0.005490490490490491,1.9463298043588926,1.3324655602967919,1.3326759873307914,1.384829683076263
0.005600500500500501,1.947070443746662,1.3410229548729162,1.3412328445542028,1.3933865402996743
0.005710510510510511,1.9478110831344313,1.3494127520127444,1.3496221043437124,1.401775800089184
0.005820520520520521,1.9485517225222009,1.3576413482269951,1.3578501632100295,1.410003858955501
0.005930530530530531,1.9492923619099702,1.365714780689184,1.365923058326657,1.4180767540721286
0.006040540540540541,1.9500330012977396,1.373638753656965,1.3738464939512383,1.4260001896967098
0.006150550550550551,1.950773640685509,1.3814186625088531,1.381625865462276,1.4337795612077475
0.006260560560560561,1.9515142800732783,1.3890596156500261,1.3892662812649375,1.441419977010409
0.006370570570570571,1.952254919461048,1.3965664545099483,1.3967725827886752,1.4489262785341468
