ra_1,dec_1,targetid_1,id,healpix,survey,program,targetid.1,z_1,zerr,zwarn,spectype,subtype,deltachi2,healpix_id,obsconditions,release,brickid_1,brick_objid,sersic_1,coadd_numexp,coadd_exptime,coadd_numnight,coadd_numtile,healpix_id.1,objid_1,brickid.1,brickname_1,ppxf_sigma,ppxf_sigma_error,DER_SNR,snr_ppxf,TYPE,SERSIC_2,Z_PHOT_MEDIAN,Z_PHOT_L95,mag_g,mag_r,mag_z,mag_B,mag_g_err,mag_r_err,mag_z_err,fibre_mag_g,fibre_mag_r,fibre_mag_z,uncor_radius,uncor_radius_err,BA_ratio,BA_ratio_error,circ_radius,pos_angle,tmass,flag,z_2,rmag,g_r_PS1_5_cor,W2_W3,W2_W3_err,PS1_ibumpy
179.304528953897,1.06472534448421,39627811895379117,3182,27650,sv3,bright,39627811895379117,0.0786640272980497,2.49179957460547E-5,0,GALAXY,,3465.41642631777,3182,516,9010,336845,1197,5.28970575332642,1,491.121307373047,1,1,3182,1197,336845,1793p010,154.06629006823766,11.686864142146488,7.040128369550692,3.480104424137587,SER,5.2897058,0.076614134,0.065165184,17.546324,16.656555,16.019493,0.0,0.0017952664,0.0017827279,0.001307108,19.23678,18.347012,17.70995,2.418446,0.003987672,0.91745263,0.0025059925788596064,2.3164783,55.824356,2MASSJ11571309+0103530,1,0.0787,16.657,0.724,1.443,0.489,0.055
113.229955008222,32.919262174074,39632939754982179,1064,6342,sv1,bright,39632939754982179,0.106014996152436,3.87048663982917E-6,0,GALAXY,,12695.2408840656,1064,4,9011,510846,2851,2.94096827507019,13,3900.49658203125,5,1,1064,2851,510846,1132p330,65.39906125303176,9.560242106995608,7.169112835519462,3.479984122699449,SER,2.9409683,0.12715366,0.085390285,16.795303,15.998889,15.459663,0.0,0.0026234044,0.0021911303,0.0017385563,20.573889,19.777477,19.23825,10.989073,0.014805633,0.82458377,0.002210292641685638,9.978803,-15.434737,2MASSJ07325516+3255094,0,0.106,16.398,0.432,3.102,0.142,0.334
115.528584618717,14.1377997398822,39628127722279021,1152,22483,sv1,bright,39628127722279021,0.119883587453642,1.52988048595871E-5,0,GALAXY,,12496.5884534912,1152,4,9010,412144,4205,6.0,12,3600.40380859375,5,1,1152,4205,412144,1154p142,162.86687242432555,10.460817695646105,7.414790806849577,3.4797620564758067,SER,6.0,0.11996631,0.04752384,17.581787,16.581448,15.907763,0.0,0.0019034416,0.0015099708,0.0018401045,19.7625,18.76216,18.088474,4.987534,5.3249625E-4,0.93788517,9.273515238190144E-4,4.830151,-18.31802,2MASSJ07420685+1408160,1,0.1199,15.657,0.781,2.339,-9.999,-9.999
251.87295964604,34.5026795579586,39632971891739362,3346,9428,sv3,bright,39632971891739362,0.100745408990579,1.69173776944831E-5,0,GALAXY,,5132.40457129106,3346,575,9011,518508,2786,3.45121026039124,2,1141.36865234375,2,1,3346,2786,518508,2518p345,163.98393891241676,11.222641125937823,8.04449513184746,3.479352333410445,SER,3.4512103,0.10273289,0.08416706,16.828478,15.914099,15.229417,17.138,0.0012728379,9.213876E-4,8.798224E-4,19.307335,18.392956,17.708275,4.6907544,0.0027297654,0.7257971,9.616792767011892E-4,3.9962287,-45.01412,2MASXJ16472950+3430093,0,0.1007,15.914,0.702,2.472,0.106,0.237
184.965681556435,57.6228075402337,39633355624417671,2694,11190,sv2,bright,39633355624417671,0.102850412438063,4.53241502983E-6,0,GALAXY,,7978.6219611764,2694,516,9011,609997,2439,3.88500475883484,2,2341.26342773438,1,1,2694,2439,609997,1848p575,100.1237599780696,16.366347988143026,5.864213854008128,3.478612524417212,SER,3.8850048,0.09616697,0.07163049,17.083221,16.380732,15.834336,17.454,0.0015818065,0.0017926651,0.0012753492,19.206364,18.503874,17.957478,3.7941523,0.0046883826,0.6398692,0.0013848988525417688,3.0350115,43.924717,2MASXJ12195176+5737216,0,0.1029,16.066,0.542,3.449,0.06,0.209
243.3869378079,56.2964775518874,39633339593787686,3446,10158,sv3,bright,39633339593787686,0.106855498757358,2.43583286681417E-5,0,GALAXY,,2926.34405194432,3446,575,9011,606175,2342,4.85018062591553,1,570.636474609375,1,1,3446,2342,606175,2433p562,144.82098862467518,15.23737113908675,5.895847865278156,3.4784368305827518,SER,4.8501806,0.10362557,0.07684755,17.540218,16.603874,15.962026,0.0,0.002440159,0.0017464608,0.0013147659,19.383657,18.447315,17.805466,2.8922458,0.0027108514,0.83147347,0.0019382376026257854,2.637299,-64.82532,2MASXJ16133285+5617474,1,0.1069,16.604,0.747,2.428,0.079,0.066
179.684667593946,56.6508480653357,39633345696498784,2637,5983,sv2,bright,39633345696498784,0.120634832977201,3.27844889033822E-6,0,GALAXY,,10821.913087368,2637,516,9011,607630,1120,5.8821120262146,3,2466.7529296875,1,1,2637,1120,607630,1797p567,90.4075373544939,19.20831260339317,5.6534135063976905,3.478417658418578,SER,5.882112,0.10563048,0.05917964,17.333618,16.584675,16.097284,0.0,0.0022731656,0.0024675867,0.0020296383,20.095753,19.346807,18.859417,13.4144,0.023690308,0.430551,0.001309886737217569,8.802045,26.98509,2MASSJ11584430+5639029,0,0.1206,16.359,0.59,3.621,0.093,0.338
216.144482907005,-0.430121842492851,39627776273157273,3380,25955,sv3,bright,39627776273157273,0.0841100355854878,2.97487424809552E-5,0,GALAXY,,2021.29456669325,3380,575,9010,328352,3225,6.0,2,773.249206542969,2,1,3380,3225,328352,2161m005,116.30869689120446,13.393357611007476,5.725739345491153,3.478050205635576,SER,6.0,0.13380176,0.092090055,17.664797,16.790155,16.164997,0.0,0.0027810598,0.002140593,0.0023022206,19.79605,18.921408,18.29625,4.7010775,0.008949305,0.9342971,0.003510003546408858,4.544017,77.26511,2MASSJ14243468-0025483,0,0.0841,16.79,0.689,1.74,-9.999,0.215
267.334209398021,63.0697468916641,39633422502595283,3488,10228,sv3,bright,39633422502595283,0.083874683142957,3.03238139029936E-6,0,GALAXY,,12807.2895119786,3488,575,9011,625942,2771,4.94674491882324,3,1250.05932617188,1,1,3488,2771,625942,2672p630,67.73458875216838,9.441321056300222,6.982766341272567,3.477673242047443,SER,4.946745,0.10676562,0.06363268,18.601665,17.842747,17.264534,0.0,0.0030934224,0.0028908069,0.0020635272,19.731358,18.972439,18.394226,1.0487089,0.0034173802,0.8512224,0.005016588542528403,0.96755683,55.84763,2MASSJ17492022+6304113,1,0.0839,17.843,0.567,3.15,0.117,0.032
149.59174693217,3.25761441814074,39627865750244063,3427,27345,sv3,bright,39627865750244063,0.0785915754333926,9.66127807749274E-6,0,GALAXY,,4297.99291486409,3427,516,9010,349685,2783,4.50293731689453,1,363.689300537109,1,1,3427,2783,349685,1495p032,112.04487699467188,14.304635377630724,6.030424093477943,3.4775255085949666,SER,4.5029373,0.076260075,0.032611884,17.42158,16.615211,16.010876,0.0,0.0013632099,9.861746E-4,0.0012562528,19.412783,18.606417,18.00208,3.798013,0.0042079375,0.58644783,0.0010399787200544078,2.9085138,39.425068,2MASSJ09582202+0315273,0,0.0786,16.615,0.598,2.65,0.184,0.161
