objid r s i dr dr_ph ds di Sprob cz
39628417112478216 0.04354287592553964 2.1429270389552384 2.9457442561093954 0.0005058271932182292 0.016672565612647423 0.022928317245978665 0.00037338858 1.0 7380.851869407284
39633328785066056 -0.5748301194831427 2.0948882137216174 3.201045162516401 0.00040129870059278254 0.13035338860921653 0.020417673556980286 0.00021412574 0.07589907263207264 689.7405599437988
39628417133447720 0.7614153663006787 2.4376616204161174 2.548015204183902 0.00023998961313159486 0.014858494627150616 0.01316824800834377 0.00014469233 1.0 8337.821433925925
39627769709071904 0.3231089133052898 2.173369587396268 2.4135673666115016 0.0009652318939766215 0.01375243277382216 0.023816771820490426 0.0004877343 1.0 8962.503399674632
39633076111803112 0.30554477991230133 2.3082728290992796 2.7408879658536804 0.0005555431183217879 0.032105840125022496 0.009379018451790703 0.00022866145 1.0 3750.764391543725
39628422523128776 0.23726361000789833 2.4329367863325024 2.9379622492599182 4.7162109230338425e-05 0.017299591187382293 0.014172068542614732 0.00024253044 1.0 7103.275514298418
39627665157658712 0.7883547273993733 2.5615345769972913 2.537808053479824 5.698246301919346e-05 0.02714979532816405 0.019736813621075974 7.650515e-05 1.0 4710.227709772325
39628430307758848 0.6527150854738003 2.3953202816163395 2.35070030072439 0.0003594992379148939 0.01753893814793997 0.01910277462852629 0.00017551461 1.0 7631.404256102958
39628467548982832 -0.026187345371990026 2.0715930736190282 2.9272934160309063 0.0016592385126457986 0.013143258811415717 0.03267859089382466 0.00071502366 1.0 10112.566968814355
39628438608283112 -0.4228105793497927 2.304121597764693 3.522282686161674 0.0008741006855025262 0.01985130722975487 0.01947992773698247 0.00046772466 0.6210283594392012 6139.310306551738
39632940354767048 0.34013873664732924 2.2783562263599286 2.6946349319656857 0.001140275933641349 0.011220168625086303 0.029578944157428712 0.0006235518 1.0 11175.208048603221
39633207917808008 0.011053915141800812 1.97753456069675 2.8011462764527817 0.0012118651730792897 0.018900008516089622 0.028463651282915337 0.0005619885 1.0 6525.488167868041
39633259562270880 0.09270913011399626 2.4781817926570833 3.0852354507037427 0.0014641186770613646 0.015136272544268737 0.015511781436891468 0.00059018785 1.0 8256.293941810549
