targetid_1,ppxf_sigma_1,ppxf_sigma_error_1,DER_SNR_1,snr_1,targetid_2,ppxf_sigma_2,ppxf_sigma_error_2,DER_SNR_2,snr_2
39627787752964626,89.3854208588923,3.7736933314893397,17.84751249261869,14.939388534182022,39627787752964626,83.09004593865436,4.990025635427913,14.203802738938583,11.843364143269067
39627818572710341,121.60066842951564,7.690656565070044,23.36105544567605,8.74936931624979,39627818572710341,116.23157198416965,17.837592499034844,10.685782942199461,5.5733868639352675
39627770220778858,174.7779468987316,6.4133654854037765,16.365057241231277,8.64656172976085,39627770220778858,173.08860538444873,9.158100415516127,10.564151164674005,7.37296273197678
39633393184408600,111.79356991848425,10.643975529946767,10.313893700801843,5.548662393282783,39633393184408600,132.28500541421664,17.847100184528767,8.840349207552588,4.354875893560186
39627927016443092,86.46393102476857,7.118989639779504,9.638851084291154,5.456251441453605,39627927016443092,86.64244640853994,9.25243177576428,7.3066226402540835,4.728461871693782
39628379120470023,234.58424472158038,12.948162360101943,8.835442005758432,5.266377775125146,39628379120470023,247.6640723484679,16.879274752609753,7.4940943149868895,3.013396156012955
39627842723516055,112.61150830622891,12.258496110754962,6.543183215186338,4.617770793210353,39627842723516055,104.06699690737467,21.390933709746857,3.4300604284641367,2.2630997433724427
39627859744003233,68.41713614308031,17.398639433386837,7.27414842096995,4.478330819683923,39627859744003233,68.60272441770833,17.31937450166803,7.27414842096995,4.4609705565545825
39627836692105274,103.61376534201432,13.129184342265415,6.2832691464814046,4.27967770116945,39627836692105274,111.23648004780216,22.42976711905684,4.5242930441159555,2.3484874611641695
39627781717361556,148.52502894883796,11.262779106624546,6.715700986500617,4.005648932942665,39627781717361556,129.73859999791927,15.411816749833907,5.2295036871138585,2.72385269374505
39633304852369992,136.31688626694017,12.873272660043433,6.055343919880821,3.917642233528163,39633304852369992,111.30891350606075,13.164747567017443,5.368156679003458,3.5885395076418938
39633308144895639,121.00646859171857,9.154788600900016,7.515857185701693,3.8199579484511,39633308144895639,93.98029201409821,10.290352767736119,6.3268970838199925,3.7000765294288
39633158324357554,76.08640507432892,7.622819278361185,9.635686337815647,3.751953673507916,39633158324357554,88.45483878237918,6.002761168978432,12.750022637092904,3.6821302247414747
39632941231375804,186.41287786671853,17.36469622896947,5.478915705274331,3.0426132651226787,39632941231375804,196.9689809311259,16.491713570956975,5.772594953769601,2.1986242407304113
39627776319295285,110.62783419404083,18.198656690254882,5.113887426536912,2.93733279946494,39627776319295285,117.51496253512174,27.76859520390101,3.243728237354224,1.2627606763465538
39633332794821639,82.11566543946448,11.057425764039516,5.444370956159677,2.90705793319959,39633332794821639,107.25193347338576,17.446145953021066,5.291612198881851,2.657751322657444
39627740088894616,153.46894455825105,15.582814067242436,5.4532657542952085,2.8593899262710303,39627740088894616,100.36355605724803,30.305703176183865,2.721765975337813,1.2305431351686875
39627823463272585,167.25288485523328,15.846818415772649,5.4520987342715515,2.8234373753621385,39627823463272585,171.64889677206327,26.43211851555747,3.61275663122255,1.743191505656955
39627835538670741,116.07237275459087,14.484854849672907,4.526645669311792,2.7993062421608923,39627835538670741,125.43323415773597,68.40760490282584,1.953674054570017,1.0868113256491723
39633290029695495,112.5495839840866,14.796353489073637,5.434661705749989,2.709019069246399,39633290029695495,115.77537008768803,17.2004125693189,4.300268952329921,2.27307490988468
39627823471660081,103.79635636800685,16.65574566285522,4.606213223934801,2.6521478471237527,39627823471660081,121.0773741173617,15.362103264980835,5.080348855557906,2.634910887120349
39627836704689175,82.86331821867086,14.755347069722573,4.163658650663787,2.647104567405706,39627836704689175,95.29992871321109,21.9114942545041,3.045142376164591,1.454962424580943
39633336208982719,64.14239847271051,11.349105724415747,4.690613318472971,2.6175710536532626,39633336208982719,55.60235186735214,11.313676260892883,4.603903598911922,2.4849150233547856
39627811979265877,148.4969477600343,18.85752246370962,4.3888093884503245,2.5865488772615217,39627811979265877,138.5708159279857,13.369260172283072,5.2340192441023055,1.8380020206250591
39633290029696684,108.52123822630129,12.021162157862575,5.3354735187691995,2.5653342429134534,39633290029696684,81.83091804651772,10.493700222240276,5.21965655592178,2.0425962618256865
39627811400451674,94.46309766978266,18.485178717380187,3.964656537157152,2.47048486340964,39627811400451674,83.41402815692554,21.234572287240834,3.9775651379344814,2.3280753862898043
39627877821451261,111.8137856030399,20.58983834120639,4.030174641361242,2.392836043221489,39627877821451261,124.2455036497907,25.501702249541662,2.6318291615815923,1.1738419820495667
39627775648207970,139.18909143913618,26.02720985509974,3.970338777788563,2.328841056620063,39627775648207970,86.62426840991189,42.28292548900562,2.142257768479254,1.1741433573152882
39633118738514039,147.6292180698625,32.78197381911825,3.6330517452008695,2.3198606678099396,39633118738514039,106.10960676080265,28.43550843122796,3.546608601801792,1.3982507349878825
39627848763312335,145.24835479555298,21.538002541962022,3.7647353082923845,2.282972445842358,39627848763312335,86.75999198323754,35.8187441311701,2.1001220896445987,1.116764229825653
39633416961917966,29.635332959977756,12.407543546398404,4.583700143010053,2.261199715797714,39633416961917966,29.90759112958954,12.355157628913355,4.583700143010053,2.2604832046718935
39627746149664513,167.84720860900558,27.68809716809229,3.2783692242109397,2.1900422542630964,39627746149664513,168.35249615496798,22.150943782541432,4.169211114888149,1.7321931031113065
39627805868164662,89.67241679135263,16.608474234017674,3.8367289858434126,2.089517763249195,39627805868164662,59.51926079149912,20.325372848824422,2.718173431788614,1.4487023672407546
39633451367794450,80.88906278587952,32.8184176632754,2.5024384671321993,1.8541268964260837,39633451367794450,81.03895271599603,32.76288113013453,2.5024384671321993,1.8540427926628427
39633308144894958,74.04855196000763,17.78116970901314,3.6836995125906387,1.831506102280558,39633308144894958,117.44123530188388,22.20351924067093,3.4990953521045673,1.7273500813856404
39633425270833777,92.25161755653357,27.894385052763646,3.2894104517725697,1.8212885732835755,39633425270833777,92.26704070736263,27.900536065278523,3.2894104517725697,1.8212789981266846
39632941227181084,51.43122416427414,28.602731668183626,2.572520729669177,1.549453199702176,39632941227181084,51.296484033555934,28.546022502137593,2.572520729669177,1.5494431630679135
39627878815501012,147.2658061951892,22.92217294929286,3.648989554823696,1.379819772344344,39627878815501012,112.3945092110251,26.615830613260307,2.726096744539762,0.9870980675688252
39627776260575895,99.6775812961908,33.210411565935445,2.464518188401914,1.2129906298078548,39627776260575895,98.9064599485745,33.77886985816992,2.464518188401914,1.1995790665195079
39633301241074107,105.86764061455038,24.29362612313076,2.2856325463558003,1.1946235183509064,39633301241074107,104.74006840649504,24.5755771603489,2.2856325463558003,1.1605008210901944
39633153941308517,152.7420042011426,35.90250790171278,2.405967505188568,1.186596273437937,39633153941308517,93.22104329477355,29.183499296282026,2.123639790086848,0.7816835913914456
39633001537081378,146.71567201704593,56.897465213364825,1.72199569696511,0.9920589913612086,39633001537081378,145.92559203284824,57.8352572074041,1.72199569696511,0.9908624989759262
39628443947636116,43.0274083756489,36.711158609304846,1.4215071418503646,0.8386012017294769,39628443947636116,43.57303680607306,37.5106758562981,1.4215071418503646,0.8382074492927802
39633136459450696,244.1009865295766,121.25643972270665,1.6540235981960225,0.8030608905423126,39633136459450696,244.84208288697533,122.6811839868777,1.6540235981960225,0.8010806453900424
