x_fit1,y_fit1
0.0,17.411970437915127
3.5353535353535355,20.456033503446694
7.070707070707071,23.50009656897826
10.606060606060606,26.544159634509825
14.141414141414142,29.588222700041392
17.67676767676768,32.63228576557296
21.21212121212121,35.67634883110453
24.747474747474747,38.720411896636094
28.282828282828284,41.76447496216766
31.81818181818182,44.80853802769923
35.35353535353536,47.852601093230795
38.88888888888889,50.89666415876236
42.42424242424242,53.94072722429392
45.95959595959596,56.9847902898255
49.494949494949495,60.02885335535706
53.03030303030303,63.07291642088863
56.56565656565657,66.11697948642019
60.101010101010104,69.16104255195177
63.63636363636364,72.20510561748333
67.17171717171718,75.2491686830149
70.70707070707071,78.29323174854646
74.24242424242425,81.33729481407804
77.77777777777779,84.3813578796096
81.31313131313132,87.42542094514117
84.84848484848484,90.46948401067273
88.38383838383838,93.51354707620429
91.91919191919192,96.55761014173586
95.45454545454545,99.60167320726742
98.98989898989899,102.645736272799
102.52525252525253,105.68979933833056
106.06060606060606,108.73386240386213
109.5959595959596,111.7779254693937
113.13131313131314,114.82198853492527
116.66666666666667,117.86605160045683
120.20202020202021,120.9101146659884
123.73737373737374,123.95417773151996
127.27272727272728,126.99824079705154
130.8080808080808,130.04230386258308
134.34343434343435,133.08636692811467
137.87878787878788,136.1304299936462
141.41414141414143,139.1744930591778
144.94949494949495,142.21855612470935
148.4848484848485,145.26261919024094
152.02020202020202,148.3066822557725
155.55555555555557,151.35074532130406
159.0909090909091,154.39480838683562
162.62626262626264,157.4388714523672
166.16161616161617,160.48293451789877
169.6969696969697,163.52699758343033
173.23232323232324,166.5710606489619
176.76767676767676,169.61512371449345
180.3030303030303,172.65918678002504
183.83838383838383,175.7032498455566
187.37373737373738,178.74731291108816
190.9090909090909,181.79137597661972
194.44444444444446,184.8354390421513
197.97979797979798,187.87950210768287
201.51515151515153,190.92356517321443
205.05050505050505,193.967628238746
208.5858585858586,197.01169130427758
212.12121212121212,200.05575436980914
215.65656565656568,203.0998174353407
219.1919191919192,206.14388050087226
222.72727272727275,209.18794356640385
226.26262626262627,212.2320066319354
229.7979797979798,215.27606969746697
233.33333333333334,218.32013276299853
236.86868686868686,221.3641958285301
240.40404040404042,224.40825889406167
243.93939393939394,227.45232195959323
247.4747474747475,230.4963850251248
251.010101010101,233.54044809065635
254.54545454545456,236.58451115618794
258.0808080808081,239.6285742217195
261.6161616161616,242.67263728725104
265.1515151515152,245.71670035278265
268.6868686868687,248.7607634183142
272.22222222222223,251.80482648384577
275.75757575757575,254.8488895493773
279.29292929292933,257.8929526149089
282.82828282828285,260.9370156804405
286.3636363636364,263.981078745972
289.8989898989899,267.0251418115036
293.4343434343434,270.06920487703513
296.969696969697,273.1132679425667
300.5050505050505,276.15733100809825
304.04040404040404,279.20139407362984
307.57575757575756,282.2454571391614
311.11111111111114,285.28952020469296
314.64646464646466,288.33358327022455
318.1818181818182,291.3776463357561
321.7171717171717,294.42170940128767
325.2525252525253,297.46577246681926
328.7878787878788,300.5098355323508
332.32323232323233,303.5538985978824
335.85858585858585,306.5979616634139
339.3939393939394,309.6420247289455
342.92929292929296,312.6860877944771
346.4646464646465,315.7301508600086
350.0,318.7742139255402
